"Time","WindSpeed","Power"
"2014-10-07 01:20:00",8.22,40.5261726540444
"2014-10-07 01:30:00",8.09,38.5525395633143
"2014-10-07 01:50:00",7.21,21.3136833380818
"2014-10-07 02:00:00",6.75,18.031417545132
"2014-10-07 02:10:00",6.52,16.5932813592686
"2014-10-07 02:20:00",5.94,11.7997099121966
"2014-10-07 02:30:00",5.62,9.66808257142117
"2014-10-07 02:40:00",5.74,10.4593488564842
"2014-10-07 02:50:00",5.65,11.492786655961
"2014-10-07 03:00:00",6.06,14.2887668678287
"2014-10-07 03:10:00",6.23,13.7720479680903
"2014-10-07 03:20:00",6.21,12.9943795488099
"2014-10-07 03:30:00",6.04,12.1895153979642
"2014-10-07 03:40:00",5.93,11.8812971068922
"2014-10-07 03:50:00",6.52,18.8304540392137
"2014-10-07 04:00:00",6.61,18.5474889274522
"2014-10-07 04:10:00",6.2,15.0224041026704
"2014-10-07 04:20:00",6.29,14.6682120749048
"2014-10-07 04:30:00",6.22,15.8194980444974
"2014-10-07 04:40:00",6.21,15.0016835452874
"2014-10-07 04:50:00",6.46,18.2055997306328
"2014-10-07 05:00:00",6.05,13.6302416535005
"2014-10-07 05:10:00",6.43,16.6871713849103
"2014-10-07 05:20:00",7.25,26.0787640187521
"2014-10-07 05:30:00",7.34,28.5419202776555
"2014-10-07 05:40:00",7.15,25.293325390453
"2014-10-07 05:50:00",6.82,22.6508068067031
"2014-10-07 06:00:00",6.72,19.8088528581419
"2014-10-07 06:10:00",6.98,20.5204745007641
"2014-10-07 06:20:00",6.75,19.3743686705172
"2014-10-07 06:30:00",6.45,18.3480535626408
"2014-10-07 06:40:00",6,15.8453987412261
"2014-10-07 06:50:00",6.24,18.1583309591028
"2014-10-07 07:00:00",6.89,23.2840788417208
"2014-10-07 07:10:00",6.91,26.0515682871869
"2014-10-07 07:20:00",7.1,21.0818721023596
"2014-10-07 07:30:00",6.56,15.4491180812764
"2014-10-07 07:40:00",6.87,17.7096013882773
"2014-10-07 07:50:00",6.96,19.4734388355047
"2014-10-07 08:00:00",6.74,20.0322463674273
"2014-10-07 08:10:00",7.04,23.5961822373022
"2014-10-07 08:20:00",7.11,27.8898702375094
"2014-10-07 08:30:00",6.57,19.9234634411666
"2014-10-07 08:40:00",6.36,17.3910228185138
"2014-10-07 08:50:00",6.66,19.9033904012018
"2014-10-07 09:00:00",6.65,19.2850112668031
"2014-10-07 09:10:00",6.73,18.6990080033153
"2014-10-07 09:20:00",6.53,18.0981118392085
"2014-10-07 09:30:00",6.2,16.2578673366314
"2014-10-07 09:40:00",5.34,9.77945556735476
"2014-10-07 09:50:00",4.55,4.19397031780155
"2014-10-07 10:00:00",4.53,3.5082493719081
"2014-10-07 10:10:00",4.34,3.68048900515424
"2014-10-07 10:20:00",4.3,3.29392110647776
"2014-10-07 10:30:00",4.34,3.65070320391619
"2014-10-07 10:40:00",3.73,1.09041933228004
"2014-10-07 10:50:00",3.92,1.23611075137921
"2014-10-07 11:00:00",3.65,1.29956745836463
"2014-10-07 11:10:00",3.77,1.52490351990469
"2014-10-07 11:20:00",4.22,2.04032738480665
"2014-10-07 11:30:00",3.9,1.5741148436893
"2014-10-07 11:40:00",3.95,2.3142272527131
"2014-10-07 11:50:00",3.98,2.00730399647751
"2014-10-07 12:00:00",4.08,2.31034214820379
"2014-10-07 12:10:00",4.7,5.35367401383097
"2014-10-07 12:20:00",4.53,4.12339091921573
"2014-10-07 12:30:00",4.09,2.3563158848973
"2014-10-07 12:40:00",3.67,1.53202621150509
"2014-10-07 12:50:00",4.97,7.35450283612629
"2014-10-07 13:00:00",4.6,5.22805563469657
"2014-10-07 13:10:00",4.99,7.29363619881375
"2014-10-07 13:20:00",4.93,6.01284674557746
"2014-10-07 13:30:00",4.69,4.81493952187314
"2014-10-07 13:40:00",4.37,4.85120049729338
"2014-10-07 13:50:00",4.65,4.91271465202414
"2014-10-07 14:00:00",4.49,5.17495920640265
"2014-10-07 14:10:00",4.79,6.68496982568831
"2014-10-07 14:20:00",4.77,6.04716516874304
"2014-10-07 14:30:00",4.89,7.42831982180321
"2014-10-07 14:40:00",4.87,7.29363619881375
"2014-10-07 14:50:00",4.92,7.25737522339351
"2014-10-07 15:00:00",4.84,6.53474578466161
"2014-10-07 15:10:00",5.2,9.80988888601103
"2014-10-07 15:20:00",5.11,9.60009324250822
"2014-10-07 15:30:00",5.94,14.2246626434251
"2014-10-07 15:40:00",5.87,13.9313372529721
"2014-10-07 15:50:00",5.18,9.47965500271957
"2014-10-07 16:00:00",5.68,13.4359864280349
"2014-10-07 16:10:00",5.13,8.24419176875858
"2014-10-07 16:20:00",6.06,16.2280815353933
"2014-10-07 16:30:00",4.98,9.64606697920174
"2014-10-07 16:40:00",4.45,5.41583568597995
"2014-10-07 16:50:00",4.93,7.44321272242223
"2014-10-07 17:00:00",4.97,7.58242896733922
"2014-10-07 17:10:00",4.71,6.01478929783211
